"","ID","Chain","SouthJ","CentralJ","NorthJ","PA1","PA2","Shore","Group","Empl","C.Owned","Hours.Opening","Soda","Fries","Treatment"
"1",46,1,0,0,0,1,0,0,0,30,0,16.5,1.03,1.03,0
"2",49,2,0,0,0,1,0,0,0,6.5,0,13,1.01,0.9,0
"3",506,2,0,0,0,1,0,0,0,3,1,10,0.95,0.74,0
"4",56,4,0,0,0,1,0,0,0,20,1,12,0.87,0.82,0
"5",61,4,0,0,0,1,0,0,0,6,1,12,0.87,0.77,0
"6",62,4,0,0,0,1,0,0,0,0,1,12,0.87,0.77,0
"7",445,1,0,0,0,0,1,0,0,50,0,18,1.04,0.88,0
"8",451,1,0,0,0,0,1,0,0,10,0,24,1.05,0.84,0
"9",455,2,0,0,0,0,1,0,0,2,1,10,0.73,0.73,0
"10",458,2,0,0,0,1,0,0,0,2,1,10,0.94,0.73,0
"11",462,3,0,0,0,0,1,0,0,2.5,1,12.5,1.05,1.01,0
"12",468,1,0,0,0,0,1,0,0,40,0,18,0.95,0.94,0
"13",469,1,0,0,0,0,1,0,0,8,0,18,0.92,0.72,0
"14",470,1,0,0,0,0,1,0,0,10.5,0,18,0.97,0.84,0
"15",474,1,0,0,0,0,1,0,0,6,0,12.5,1.13,0.98,0
"16",481,2,0,0,0,0,1,0,0,5,1,10,0.95,0.74,0
"17",483,2,0,0,0,0,1,0,0,1,1,10,0.94,0.73,0
"18",487,3,0,0,0,0,1,0,0,10,1,11.5,1.11,0.91,0
"19",488,3,0,0,0,0,1,0,0,20,0,16,1.05,0.79,0
"20",489,3,0,0,0,0,1,0,0,5,0,14,1.05,1.01,0
"21",490,3,0,0,0,0,1,0,0,10,1,16,1.05,1.01,0
"22",493,3,0,0,0,1,0,0,0,27,1,16,1.05,0.9,0
"23",495,3,0,0,0,0,1,0,0,4,0,15,1.05,1.01,0
"24",496,3,0,0,0,0,1,0,0,10,1,16,1.05,0.9,0
"25",499,4,0,0,0,0,1,0,0,0,1,12,0.9,0.69,0
"26",509,3,0,0,0,0,1,0,0,3,1,16,1.05,0.95,0
"27",515,3,0,0,0,0,1,0,0,7,1,16,1.05,0.94,0
"28",37,1,0,0,0,1,0,0,0,21,0,16.5,0.98,0.84,0
"29",39,1,0,0,0,1,0,0,0,1,0,17.5,1.03,0.73,0
"30",40,1,0,0,0,1,0,0,0,10,0,16.5,0.98,0.82,0
